Latitude,Longitude,Country,City,AvgDropsPerMonth,PercentAffected
44.754,-76.533,Canada,Tay Valley,0.008,0.009
48.266,-79.879,Canada,"Timiskaming, Unorganized, East Part",0.008,0.01
46.228,-78.899,Canada,Calvin,0.008,0.006
46.372,-78.815,Canada,Mattawan,0.008,0.007
45.715,-77.428,Canada,Laurentian Valley,0.008,0.008
50.814,-93.415,Canada,Ear Falls,0.008,0.009
46.063,-81.195,Canada,Killarney,0.008,0.01
44.865,-81.327,Canada,South Bruce Peninsula,0.008,0.008
48.233,-89.561,Canada,Neebing,0.008,0.009
48.588,-89.108,Canada,Shuniah,0.006,0.008
45.391,-76.846,Canada,Admaston/Bromley,0.006,0.007
44.804,-76.332,Canada,Tay Valley,0.006,0.007
45.399,-76.801,Canada,Admaston/Bromley,0.006,0.008
45.094,-77.656,Canada,Carlow/Mayo,0.006,0.007
45.425,-76.758,Canada,Admaston/Bromley,0.006,0.007
44.57,-77.887,Canada,Havelock-Belmont-Methuen,0.006,0.007
49.451,-94.003,Canada,Sioux Narrows-Nestor Falls,0.006,0.006
44.639,-76.521,Canada,South Frontenac,0.006,0.009
51.085,-90.239,Canada,Osnaburgh 63A,0.006,0.008
45.033,-78.236,Canada,Highlands East,0.006,0.007
48.61,-85.326,Canada,White River,0.006,0.007
45.401,-79.353,Canada,Huntsville,0.006,0.008
45.067,-79.83,Canada,Georgian Bay,0.006,0.009
50.944,-93.767,Canada,Red Lake,0.006,0.007
45.136,-78.148,Canada,Dysart et al,0.006,0.005
45.573,-79.358,Canada,Armour,0.006,0.005
45.59,-78.303,Canada,"Nipissing, Unorganized, South Part",0.006,0.008
48.976,-88.336,Canada,Nipigon,0.006,0.007
46.786,-80.845,Canada,Wahnapitei 11,0.006,0.005
44.539,-76.444,Canada,South Frontenac,0.006,0.009
45.723,-77.409,Canada,Laurentian Valley,0.006,0.007
48.338,-84.556,Canada,Dubreuilville,0.006,0.007
45.311,-74.562,Canada,North Glengarry,0.006,0.008
45.207,-77.991,Canada,Hastings Highlands,0.006,0.008
48.348,-84.628,Canada,Dubreuilville,0.006,0.006
44.408,-80.304,Canada,Grey Highlands,0.006,0.007
45.273,-78.902,Canada,Algonquin Highlands,0.006,0.007
49.295,-84.85,Canada,Hornepayne,0.006,0.007
44.649,-76.489,Canada,South Frontenac,0.006,0.007
45.399,-75.124,Canada,Clarence-Rockland,0.006,0.007
45.282,-78.862,Canada,Algonquin Highlands,0.006,0.009
43.536,-79.977,Canada,Milton,0.006,0.005
46.055,-81.238,Canada,Killarney,0.006,0.007
44.759,-81.031,Canada,Georgian Bluffs,0.006,0.006
49.98,-92.118,Canada,Sioux Lookout,0.006,0.007
44.148,-80.049,Canada,Mulmur,0.006,0.007
44.872,-76.58,Canada,Tay Valley,0.006,0.006
44.551,-77.955,Canada,Havelock-Belmont-Methuen,0.006,0.007
48.24,-89.65,Canada,Gillies,0.006,0.007
44.548,-76.931,Canada,Stone Mills,0.006,0.008
45.035,-77.732,Canada,Bancroft,0.006,0.003
45.289,-74.495,Canada,South Glengarry,0.006,0.004
43.589,-79.797,Canada,Mississauga,0.006,0.001
45.428,-76.757,Canada,Admaston/Bromley,0.006,0.007
48.857,-93.575,Canada,Rainy Lake 17A,0.006,0.01
44.616,-77.883,Canada,Havelock-Belmont-Methuen,0.006,0.008
46.221,-80.432,Canada,French River / Rivière des Français,0.006,0.006
48.882,-87.559,Canada,Pays Plat 51,0.006,0.006
45.63,-77.186,Canada,North Algona Wilberforce,0.006,0.006
44.718,-76.401,Canada,Rideau Lakes,0.006,0.008
45.341,-78.804,Canada,Algonquin Highlands,0.006,0.007
50.738,-93.386,Canada,Ear Falls,0.006,0.007
45.955,-79.513,Canada,Nipissing,0.008,0.009
50.78,-93.426,Canada,Ear Falls,0.008,0.008
44.846,-78.552,Canada,Minden Hills,0.008,0.008
45.205,-78.003,Canada,Hastings Highlands,0.008,0.01
44.715,-77.932,Canada,Havelock-Belmont-Methuen,0.008,0.009
44.196,-80.138,Canada,Mulmur,0.008,0.008
44.543,-76.441,Canada,South Frontenac,0.008,0.009
48.391,-81.106,Canada,Timmins,0.008,0.009
48.337,-81.121,Canada,Timmins,0.008,0.009
46.137,-80.993,Canada,Killarney,0.008,0.009
44.643,-76.511,Canada,South Frontenac,0.008,0.009
47.842,-80.495,Canada,Matachewan,0.008,0.009
45.713,-77.438,Canada,Laurentian Valley,0.008,0.009
48.846,-93.602,Canada,Rainy Lake 17A,0.008,0.009
44.445,-76.194,Canada,Leeds and the Thousand Islands,0.008,0.009
49.704,-87.391,Canada,Lake Nipigon,0.008,0.008
45.204,-78.01,Canada,Hastings Highlands,0.008,0.009
44.64,-77.879,Canada,Havelock-Belmont-Methuen,0.008,0.009
49.535,-94.062,Canada,Sioux Narrows-Nestor Falls,0.008,0.009
46.127,-80.05,Canada,Dokis 9,0.008,0.01
44.87,-76.718,Canada,Central Frontenac,0.008,0.009
49.973,-92.141,Canada,Sioux Lookout,0.008,0.008
51.07,-90.286,Canada,Osnaburgh 63A,0.008,0.009
45.647,-79.25,Canada,Kearney,0.008,0.01
45.172,-78.473,Canada,Dysart et al,0.008,0.008
45.714,-77.431,Canada,Laurentian Valley,0.008,0.009
45.27,-77.093,Canada,Greater Madawaska,0.008,0.009
46.231,-80.434,Canada,French River / Rivière des Français,0.006,0.005
44.677,-78.714,Canada,Kawartha Lakes,0.006,0.008
50.102,-91.771,Canada,Sioux Lookout,0.006,0.008
44.422,-80.292,Canada,The Blue Mountains,0.006,0.007
45.722,-77.413,Canada,Laurentian Valley,0.006,0.007
45.402,-76.798,Canada,Admaston/Bromley,0.006,0.009
45.614,-77.509,Canada,"Killaloe, Hagarty and Richards",0.006,0.005
50.133,-91.826,Canada,Sioux Lookout,0.006,0.009
46.37,-78.73,Canada,Mattawan,0.006,0.009
45.976,-79.316,Canada,"Parry Sound, Unorganized, North East Part",0.006,0.006
48.355,-84.594,Canada,Dubreuilville,0.006,0.007
44.722,-76.457,Canada,Rideau Lakes,0.006,0.006
49.505,-94.052,Canada,Sioux Narrows-Nestor Falls,0.006,0.007
48.237,-89.53,Canada,Neebing,0.006,0.007
45.281,-78.915,Canada,Lake of Bays,0.006,0.007
49.217,-84.696,Canada,Hornepayne,0.006,0.007
48.338,-84.551,Canada,Dubreuilville,0.006,0.007
44.517,-76.463,Canada,South Frontenac,0.006,0.008
48.351,-84.618,Canada,Dubreuilville,0.006,0.007
44.593,-77.883,Canada,Havelock-Belmont-Methuen,0.006,0.008
46.868,-79.773,Canada,Temagami,0.006,0.004
44.983,-79.051,Canada,Bracebridge,0.006,0.01
45.164,-78.488,Canada,Dysart et al,0.006,0.009
45.346,-77.02,Canada,Greater Madawaska,0.006,0.006
46.063,-81.194,Canada,Killarney,0.006,0.006
45.378,-77.537,Canada,Madawaska Valley,0.006,0.009
44.648,-76.491,Canada,South Frontenac,0.006,0.007
45.687,-77.506,Canada,"Killaloe, Hagarty and Richards",0.006,0.007
45.399,-79.346,Canada,Huntsville,0.006,0.008
44.783,-76.351,Canada,Tay Valley,0.006,0.008
49.313,-84.761,Canada,Hornepayne,0.006,0.007
44.643,-76.535,Canada,South Frontenac,0.006,0.009
48.255,-89.701,Canada,Gillies,0.006,0.006
44.785,-76.348,Canada,Tay Valley,0.006,0.007
48.344,-84.663,Canada,Dubreuilville,0.006,0.009
45.028,-78.238,Canada,Highlands East,0.006,0.007
50.732,-93.377,Canada,Ear Falls,0.006,0.007
45.354,-79.433,Canada,Huntsville,0.006,0.009
48.501,-89.322,Canada,Thunder Bay,0.006,0.001
44.621,-77.88,Canada,Havelock-Belmont-Methuen,0.006,0.008
49.708,-87.354,Canada,Lake Nipigon,0.006,0.007
45.402,-75.111,Canada,The Nation / La Nation,0.006,0.006
44.436,-76.199,Canada,Leeds and the Thousand Islands,0.006,0.007
45.725,-77.387,Canada,Laurentian Valley,0.006,0.007
48.618,-85.331,Canada,White River,0.006,0.007
45.066,-77.793,Canada,Bancroft,0.006,0.007
48.617,-85.33,Canada,White River,0.006,0.008
48.241,-89.661,Canada,Gillies,0.006,0.005
44.074,-80.04,Canada,Mono,0.006,0.008
51.086,-90.237,Canada,Osnaburgh 63A,0.006,0.008
49.5,-94.054,Canada,Sioux Narrows-Nestor Falls,0.006,0.008
45.398,-76.818,Canada,Admaston/Bromley,0.006,0.008
45.67,-81.931,Canada,Assiginack,0.006,0.006
45.224,-77.642,Canada,Carlow/Mayo,0.006,0.007
49.581,-94.077,Canada,Sioux Narrows-Nestor Falls,0.009,0.008
51.055,-90.309,Canada,Osnaburgh 63A,0.009,0.009
44.874,-81.319,Canada,Northern Bruce Peninsula,0.009,0.008
49.542,-94.06,Canada,Sioux Narrows-Nestor Falls,0.009,0.009
44.681,-77.932,Canada,Havelock-Belmont-Methuen,0.009,0.009
46.061,-81.21,Canada,Killarney,0.009,0.009
50.827,-93.414,Canada,Ear Falls,0.009,0.008
50.105,-91.741,Canada,Sioux Lookout,0.009,0.009
49.516,-94.068,Canada,Sioux Narrows-Nestor Falls,0.009,0.009
45.265,-77.107,Canada,Greater Madawaska,0.009,0.009
49.513,-94.066,Canada,Sioux Narrows-Nestor Falls,0.009,0.009
50.793,-93.423,Canada,Ear Falls,0.009,0.009
45.19,-76.307,Canada,Mississippi Mills,0.009,0.009
49.508,-94.057,Canada,Sioux Narrows-Nestor Falls,0.009,0.009
44.708,-77.941,Canada,Havelock-Belmont-Methuen,0.009,0.009
44.766,-76.371,Canada,Rideau Lakes,0.009,0.009
47.847,-80.506,Canada,Matachewan,0.009,0.01
44.73,-78.324,Canada,Trent Lakes,0.009,0.009
44.762,-76.378,Canada,Rideau Lakes,0.009,0.009
45.614,-79.163,Canada,Kearney,0.009,0.01
44.196,-80.136,Canada,Mulmur,0.009,0.008
44.871,-76.703,Canada,Central Frontenac,0.009,0.009
49.555,-94.054,Canada,Sioux Narrows-Nestor Falls,0.009,0.009
46.129,-81.03,Canada,Killarney,0.009,0.01
44.981,-79.051,Canada,Bracebridge,0.009,0.01
45.65,-79.207,Canada,Kearney,0.009,0.01
44.16,-80.165,Canada,Mulmur,0.009,0.009
46.127,-80.048,Canada,Dokis 9,0.009,0.01
44.676,-77.927,Canada,Havelock-Belmont-Methuen,0.009,0.009
44.075,-80.034,Canada,Mono,0.009,0.009
51.154,-93.683,Canada,Red Lake,0.006,0.008
44.724,-79.033,Canada,Kawartha Lakes,0.006,0.006
48.239,-89.615,Canada,Neebing,0.006,0.007
48.342,-84.65,Canada,Dubreuilville,0.006,0.008
45.405,-75.1,Canada,Clarence-Rockland,0.006,0.007
50.106,-91.778,Canada,Sioux Lookout,0.006,0.009
45.208,-77.99,Canada,Hastings Highlands,0.006,0.008
46.053,-81.284,Canada,Killarney,0.006,0.006
44.265,-80.335,Canada,Grey Highlands,0.006,0.002
46.367,-78.799,Canada,Mattawan,0.006,0.005
48.338,-84.563,Canada,Dubreuilville,0.006,0.007
45.475,-75.226,Canada,Clarence-Rockland,0.006,0.007
45.067,-79.829,Canada,Georgian Bay,0.006,0.008
44.779,-76.468,Canada,Tay Valley,0.006,0.008
50.1,-91.785,Canada,Sioux Lookout,0.006,0.006
48.544,-85.192,Canada,White River,0.006,0.007
45.64,-79.292,Canada,Armour,0.006,0.007
44.564,-77.975,Canada,Havelock-Belmont-Methuen,0.006,0.008
45.727,-77.377,Canada,Laurentian Valley,0.006,0.007
45.345,-77.02,Canada,Greater Madawaska,0.006,0.007
51.098,-90.218,Canada,Osnaburgh 63A,0.006,0.007
44.53,-79.639,Canada,Oro-Medonte,0.006,0.004
50.102,-91.801,Canada,Sioux Lookout,0.006,0.008
46.229,-80.433,Canada,French River / Rivière des Français,0.006,0.005
44.612,-77.883,Canada,Havelock-Belmont-Methuen,0.006,0.008
45.641,-79.289,Canada,Armour,0.006,0.009
44.804,-80.114,Canada,Tiny,0.006,0.009
44.815,-76.63,Canada,Central Frontenac,0.006,0.007
44.84,-78.554,Canada,Minden Hills,0.006,0.007
45.725,-77.38,Canada,Laurentian Valley,0.006,0.007
46.38,-79.271,Canada,North Bay,0.006,0.008
46.371,-79.303,Canada,North Bay,0.006,0.007
45.173,-79.04,Canada,Lake of Bays,0.006,0.009
45.727,-77.393,Canada,Laurentian Valley,0.006,0.008
48.242,-89.513,Canada,Neebing,0.006,0.008
46.379,-79.274,Canada,North Bay,0.006,0.008
46.127,-80.051,Canada,Dokis 9,0.006,0.01
48.028,-84.665,Canada,Wawa,0.006,0.006
43.511,-80.133,Canada,Puslinch,0.006,0.001
45.269,-76.381,Canada,Mississippi Mills,0.006,0.007
44.553,-77.959,Canada,Havelock-Belmont-Methuen,0.006,0.007
45.045,-79.22,Canada,Bracebridge,0.006,0.008
44.522,-79.667,Canada,Oro-Medonte,0.006,0.006
44.732,-76.488,Canada,Rideau Lakes,0.006,0.006
45.188,-78.145,Canada,Dysart et al,0.006,0.008
45.283,-74.53,Canada,South Glengarry,0.006,0.007
44.189,-80.147,Canada,Mulmur,0.006,0.008
45.977,-80.539,Canada,French River 13,0.006,0.006
45.066,-77.792,Canada,Bancroft,0.006,0.007
45.35,-79.431,Canada,Huntsville,0.006,0.009
45.733,-77.353,Canada,Laurentian Valley,0.006,0.006
50.938,-93.771,Canada,Red Lake,0.006,0.007
50.098,-91.793,Canada,Sioux Lookout,0.006,0.007
44.566,-77.976,Canada,Havelock-Belmont-Methuen,0.006,0.008
44.623,-77.878,Canada,Havelock-Belmont-Methuen,0.006,0.008
47.98,-80.537,Canada,Matachewan,0.006,0.007
44.869,-76.724,Canada,Central Frontenac,0.009,0.009
44.904,-76.494,Canada,Tay Valley,0.009,0.009
45.194,-78.135,Canada,Dysart et al,0.009,0.009
45.983,-79.588,Canada,Nipissing,0.009,0.01
45.709,-77.449,Canada,Laurentian Valley,0.009,0.009
44.159,-80.168,Canada,Mulmur,0.009,0.008
48.853,-93.581,Canada,Rainy Lake 17A,0.009,0.008
44.456,-76.571,Canada,South Frontenac,0.009,0.009
44.758,-76.387,Canada,Rideau Lakes,0.009,0.009
44.76,-76.383,Canada,Rideau Lakes,0.009,0.009
46.11,-81.084,Canada,Killarney,0.009,0.01
45.268,-77.102,Canada,Greater Madawaska,0.009,0.009
51.07,-90.287,Canada,Osnaburgh 63A,0.009,0.009
44.159,-80.169,Canada,Mulmur,0.009,0.009
44.659,-77.892,Canada,Havelock-Belmont-Methuen,0.009,0.009
45.701,-77.467,Canada,"Killaloe, Hagarty and Richards",0.009,0.01
44.644,-76.508,Canada,South Frontenac,0.009,0.009
45.955,-79.52,Canada,Nipissing,0.009,0.009
44.753,-76.39,Canada,Rideau Lakes,0.009,0.009
44.862,-76.76,Canada,Central Frontenac,0.009,0.01
48.355,-81.118,Canada,Timmins,0.009,0.01
44.809,-80.121,Canada,Tiny,0.009,0.01
44.729,-76.398,Canada,Rideau Lakes,0.009,0.009
44.486,-80.665,Canada,Grey Highlands,0.009,0.006
49.523,-94.07,Canada,Sioux Narrows-Nestor Falls,0.009,0.009
49.552,-94.054,Canada,Sioux Narrows-Nestor Falls,0.009,0.009
46.095,-81.133,Canada,Killarney,0.009,0.01
49.589,-94.074,Canada,Sioux Narrows-Nestor Falls,0.009,0.009
44.76,-76.382,Canada,Rideau Lakes,0.009,0.009
46.121,-81.048,Canada,Killarney,0.009,0.009
48.238,-89.701,Canada,Gillies,0.009,0.008
51.078,-90.255,Canada,Osnaburgh 63A,0.009,0.01
45.391,-77.524,Canada,Madawaska Valley,0.009,0.009
45.272,-77.09,Canada,Greater Madawaska,0.009,0.009
49.526,-94.069,Canada,Sioux Narrows-Nestor Falls,0.009,0.009
44.535,-76.448,Canada,South Frontenac,0.009,0.009
48.846,-93.603,Canada,Rainy Lake 17A,0.009,0.009
45.733,-77.356,Canada,Laurentian Valley,0.007,0.007
49.982,-92.114,Canada,Sioux Lookout,0.007,0.006
45.021,-78.237,Canada,Highlands East,0.007,0.007
44.737,-76.496,Canada,Rideau Lakes,0.007,0.006
50.101,-91.793,Canada,Sioux Lookout,0.007,0.007
50.222,-86.963,Canada,Aroland 83,0.007,0.007
45.648,-77.189,Canada,North Algona Wilberforce,0.007,0.006
48.409,-81.124,Canada,Timmins,0.007,0.007
44.426,-80.284,Canada,The Blue Mountains,0.007,0.006
44.888,-81.355,Canada,Northern Bruce Peninsula,0.007,0.008
44.642,-76.54,Canada,South Frontenac,0.007,0.009
45.694,-77.188,Canada,Laurentian Valley,0.007,0.004
48.238,-89.529,Canada,Neebing,0.007,0.008
45.406,-76.791,Canada,Admaston/Bromley,0.007,0.009
50.739,-93.387,Canada,Ear Falls,0.007,0.008
45.404,-76.793,Canada,Admaston/Bromley,0.007,0.008
50.109,-91.775,Canada,Sioux Lookout,0.007,0.01
45.727,-77.397,Canada,Laurentian Valley,0.007,0.007
49.703,-87.4,Canada,Lake Nipigon,0.007,0.007
45.733,-77.362,Canada,Laurentian Valley,0.007,0.007
45.348,-77.019,Canada,Greater Madawaska,0.007,0.008
46.359,-78.729,Canada,Mattawan,0.007,0.005
48.239,-89.685,Canada,Gillies,0.007,0.005
44.894,-81.29,Canada,Northern Bruce Peninsula,0.007,0.006
49.703,-87.401,Canada,Lake Nipigon,0.007,0.007
44.731,-76.576,Canada,South Frontenac,0.007,0.005
51.095,-90.223,Canada,Osnaburgh 63A,0.007,0.008
46.15,-80.971,Canada,Killarney,0.007,0.008
45.683,-77.514,Canada,"Killaloe, Hagarty and Richards",0.007,0.007
45.409,-76.791,Canada,Admaston/Bromley,0.007,0.007
45.081,-79.921,Canada,Georgian Bay,0.007,0.007
45.376,-79.447,Canada,Huntsville,0.007,0.008
44.866,-81.327,Canada,Northern Bruce Peninsula,0.007,0.008
45.414,-77.167,Canada,Bonnechere Valley,0.007,0.008
44.642,-76.541,Canada,South Frontenac,0.007,0.008
48.334,-84.541,Canada,Dubreuilville,0.007,0.008
44.809,-80.116,Canada,Tiny,0.007,0.01
44.725,-79.053,Canada,Kawartha Lakes,0.007,0.006
45.067,-77.793,Canada,Bancroft,0.007,0.006
47.876,-80.523,Canada,Matachewan,0.007,0.007
44.579,-76.421,Canada,South Frontenac,0.007,0.007
45.42,-76.764,Canada,Admaston/Bromley,0.009,0.009
45.413,-76.78,Canada,Admaston/Bromley,0.009,0.01
46.065,-81.19,Canada,Killarney,0.009,0.01
45.707,-77.452,Canada,Laurentian Valley,0.009,0.009
44.889,-81.308,Canada,Northern Bruce Peninsula,0.009,0.009
45.168,-78.465,Canada,Dysart et al,0.009,0.008
44.758,-76.386,Canada,Rideau Lakes,0.009,0.009
49.547,-94.056,Canada,Sioux Narrows-Nestor Falls,0.009,0.009
44.873,-76.709,Canada,Central Frontenac,0.009,0.009
48.386,-81.099,Canada,Timmins,0.009,0.009
44.638,-77.875,Canada,Havelock-Belmont-Methuen,0.009,0.009
48.387,-81.1,Canada,Timmins,0.009,0.009
49.527,-94.068,Canada,Sioux Narrows-Nestor Falls,0.009,0.009
45.168,-79.033,Canada,Lake of Bays,0.009,0.008
51.078,-90.256,Canada,Osnaburgh 63A,0.009,0.009
49.516,-94.067,Canada,Sioux Narrows-Nestor Falls,0.009,0.009
44.752,-76.39,Canada,Rideau Lakes,0.009,0.009
46.133,-81.015,Canada,Killarney,0.009,0.01
45.414,-76.778,Canada,Admaston/Bromley,0.009,0.009
45.382,-76.867,Canada,Admaston/Bromley,0.009,0.009
47.852,-80.512,Canada,Matachewan,0.009,0.009
44.672,-77.91,Canada,Havelock-Belmont-Methuen,0.009,0.009
44.866,-76.707,Canada,Central Frontenac,0.009,0.01
50.769,-93.432,Canada,Ear Falls,0.009,0.008
45.713,-77.435,Canada,Laurentian Valley,0.009,0.009
48.332,-81.12,Canada,Timmins,0.009,0.009
51.077,-90.262,Canada,Osnaburgh 63A,0.009,0.01
44.749,-76.39,Canada,Rideau Lakes,0.009,0.009
48.848,-93.595,Canada,Rainy Lake 17A,0.009,0.008
49.296,-84.867,Canada,Hornepayne,0.009,0.009
44.887,-81.315,Canada,Northern Bruce Peninsula,0.009,0.01
45.697,-77.478,Canada,"Killaloe, Hagarty and Richards",0.009,0.009
46.063,-81.194,Canada,Killarney,0.009,0.01
46.137,-80.992,Canada,Killarney,0.007,0.009
44.469,-80.662,Canada,Grey Highlands,0.007,0.002
45.639,-79.293,Canada,Armour,0.007,0.007
45.411,-77.134,Canada,Bonnechere Valley,0.007,0.009
44.89,-76.513,Canada,Tay Valley,0.007,0.008
44.493,-80.548,Canada,Grey Highlands,0.007,0.001
45.377,-76.887,Canada,Admaston/Bromley,0.007,0.007
48.341,-84.651,Canada,Dubreuilville,0.007,0.008
50.746,-93.4,Canada,Ear Falls,0.007,0.007
44.736,-76.493,Canada,Rideau Lakes,0.007,0.006
48.239,-89.633,Canada,Neebing,0.007,0.006
44.561,-77.971,Canada,Havelock-Belmont-Methuen,0.007,0.008
45.726,-77.401,Canada,Laurentian Valley,0.007,0.007
44.8,-80.113,Canada,Tiny,0.007,0.009
48.271,-79.86,Canada,"Timiskaming, Unorganized, East Part",0.007,0.01
44.674,-77.942,Canada,Havelock-Belmont-Methuen,0.007,0.01
44.837,-78.555,Canada,Minden Hills,0.007,0.006
45.281,-78.911,Canada,Algonquin Highlands,0.007,0.008
50.735,-93.382,Canada,Ear Falls,0.007,0.008
45.652,-79.261,Canada,Kearney,0.007,0.009
44.198,-80.131,Canada,Mulmur,0.007,0.007
46.253,-80.432,Canada,St.-Charles,0.007,0.006
45.411,-77.129,Canada,Bonnechere Valley,0.007,0.008
44.791,-79.222,Canada,Ramara,0.007,0.007
42.84,-80.396,Canada,Norfolk County,0.007,0.003
48.996,-88.329,Canada,Nipigon,0.007,0.007
45.204,-76.323,Canada,Mississippi Mills,0.007,0.007
45.467,-77.541,Canada,Madawaska Valley,0.007,0.006
44.735,-76.492,Canada,Rideau Lakes,0.007,0.007
45.642,-79.285,Canada,Armour,0.007,0.008
44.163,-80.16,Canada,Mulmur,0.007,0.006
44.559,-76.44,Canada,South Frontenac,0.007,0.008
44.791,-79.219,Canada,Ramara,0.007,0.006
45.719,-77.419,Canada,Laurentian Valley,0.007,0.008
